127.0.0.1 - - [29/Apr/2025:16:49:23 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/carousel-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/carousel-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/service-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/service-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/about.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/lib/wow/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/lib/counterup/counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/service-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/service-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/service-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/service-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/feature.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/team-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/team-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/team-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/team-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/testimonial-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/testimonial-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:26 +0530] "GET /CargoTransportWeb/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:29 +0530] "GET /CargoTransportWeb/img/favicon.ico HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:49:44 +0530] "GET /CargoTransportWeb/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:50:28 +0530] "POST /CargoTransportWeb/AdminLogin HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:50:29 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:50:54 +0530] "POST /CargoTransportWeb/AdminLogin HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:51:11 +0530] "GET /CargoTransportWeb/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:51:13 +0530] "GET /CargoTransportWeb/userlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:51:28 +0530] "POST /CargoTransportWeb/UserLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:51:28 +0530] "GET /CargoTransportWeb/userlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:52:06 +0530] "POST /CargoTransportWeb/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:52:06 +0530] "GET /CargoTransportWeb/admin_main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:52:24 +0530] "GET /CargoTransportWeb/approveBooking.jsp HTTP/1.1" 200 18428
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:52:24 +0530] "GET /CargoTransportWeb/img/map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:52:33 +0530] "GET /CargoTransportWeb/adminlocation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2025:16:52:40 +0530] "GET /CargoTransportWeb/viewCargo.jsp HTTP/1.1" 200 11754
